"ICD10","ICD10Descr"
"C538","Malignant neoplasm of overlapping sites of cervix uteri"
"C9231","Myeloid sarcoma, in remission"
"C229","Malig neoplasm of liver, not specified as primary or sec"
"C8314","Mantle cell lymphoma, lymph nodes of axilla and upper limb"
"C632","Malignant neoplasm of scrotum"
"C6901","Malignant neoplasm of right conjunctiva"
"C4001","Malig neoplasm of scapula and long bones of right upper limb"
"C8126","Mixed cellular classical Hodgkin lymphoma, intrapelv nodes"
"C343","Malignant neoplasm of lower lobe, bronchus or lung"
"C8398","Non-follic (diffuse) lymphoma, unsp, lymph nodes mult site"
"C761","Malignant neoplasm of thorax"
"C573","Malignant neoplasm of parametrium"
"C66","Malignant neoplasm of ureter"
"C4011","Malignant neoplasm of short bones of right upper limb"
"C9191","Lymphoid leukemia, unspecified, in remission"
"C50421","Malig neoplasm of upper-outer quadrant of right male breast"
"C003","Malignant neoplasm of upper lip, inner aspect"
"C028","Malignant neoplasm of overlapping sites of tongue"
"C180","Malignant neoplasm of cecum"
"C211","Malignant neoplasm of anal canal"
"C8445","Prph T-cell lymph, not class, nodes of ing rgn and low limb"
"C048","Malignant neoplasm of overlapping sites of floor of mouth"
"C170","Malignant neoplasm of duodenum"
"C8444","Prph T-cell lymph, not class, nodes of axilla and upper limb"
"C8236","Follicular lymphoma grade IIIa, intrapelvic lymph nodes"
"C8297","Follicular lymphoma, unspecified, spleen"
"C7412","Malignant neoplasm of medulla of left adrenal gland"
"C84A3","Cutaneous T-cell lymphoma, unsp, intra-abdominal lymph nodes"
"C06","Malignant neoplasm of other and unspecified parts of mouth"
"C858","Other specified types of non-Hodgkin lymphoma"
"C5092","Malignant neoplasm of breast of unspecified site, male"
"C851","Unspecified B-cell lymphoma"
"C828","Other types of follicular lymphoma"
"C8462","Anaplastic large cell lymphoma, ALK-pos, intrathorac nodes"
"C9592","Leukemia, unspecified, in relapse"
"C57","Malignant neoplasm of other and unsp female genital organs"
"C9482","Other specified leukemias, in relapse"
"C8465","Anaplstc lg cell lymph, ALK-pos, nodes of ing rgn & low lmb"
"C4312","Malignant melanoma of left eyelid, including canthus"
"C8225","Foliclar lymph grade III, unsp, nodes of ing rgn and low lmb"
"C8410","Sezary disease, unspecified site"
"C5700","Malignant neoplasm of unspecified fallopian tube"
"C7490","Malignant neoplasm of unsp part of unspecified adrenal gland"
"C825","Diffuse follicle center lymphoma"
"C561","Malignant neoplasm of right ovary"
"C8244","Foliclar lymphoma grade IIIb, nodes of axilla and upper limb"
"C8214","Follicular lymphoma grade II, nodes of axilla and upper limb"
"C8358","Lymphoblastic (diffuse) lymphoma, lymph nodes mult site"
"C689","Malignant neoplasm of urinary organ, unspecified"
"C8113","Nodular sclerosis class Hodgkin lymphoma, intra-abd nodes"
"C6311","Malignant neoplasm of right spermatic cord"
"C104","Malignant neoplasm of branchial cleft"
"C38","Malignant neoplasm of heart, mediastinum and pleura"
"C8174","Oth class Hodgkin lymphoma, nodes of axilla and upper limb"
"C8474","Anaplstc lg cell lymph, ALK-neg, nodes of axla and upr limb"
"C713","Malignant neoplasm of parietal lobe"
"C929","Myeloid leukemia, unspecified"
"C8385","Oth non-follic lymphoma, nodes of ing region and lower limb"
"C8170","Other classical Hodgkin lymphoma, unspecified site"
"C749","Malignant neoplasm of unspecified part of adrenal gland"
"C8246","Follicular lymphoma grade IIIb, intrapelvic lymph nodes"
"C15","Malignant neoplasm of esophagus"
"C5011","Malignant neoplasm of central portion of breast, female"
"C698","Malignant neoplasm of overlapping sites of eye and adnexa"
"C438","Malignant melanoma of overlapping sites of skin"
"C9142","Hairy cell leukemia, in relapse"
"C8223","Follicular lymphoma grade III, unsp, intra-abd lymph nodes"
"C103","Malignant neoplasm of posterior wall of oropharynx"
"C84Z6","Other mature T/NK-cell lymphomas, intrapelvic lymph nodes"
"C50922","Malignant neoplasm of unspecified site of left male breast"
"C4650","Kaposi's sarcoma of unspecified lung"
"C4090","Malig neoplasm of unsp bones and artic cartlg of unsp limb"
"C4030","Malignant neoplasm of short bones of unspecified lower limb"
"C8460","Anaplastic large cell lymphoma, ALK-positive, unsp site"
"C531","Malignant neoplasm of exocervix"
"C8497","Mature T/NK-cell lymphomas, unspecified, spleen"
"C05","Malignant neoplasm of palate"
"C694","Malignant neoplasm of ciliary body"
"C8442","Peripheral T-cell lymphoma, not class, intrathorac nodes"
"C171","Malignant neoplasm of jejunum"
"C8402","Mycosis fungoides, intrathoracic lymph nodes"
"C47","Malignant neoplasm of prph nerves and autonomic nervous sys"
"C8309","Small cell B-cell lymphoma, extranodal and solid organ sites"
"C8381","Oth non-follic lymphoma, lymph nodes of head, face, and neck"
"C916","Prolymphocytic leukemia of T-cell type"
"C548","Malignant neoplasm of overlapping sites of corpus uteri"
"C140","Malignant neoplasm of pharynx, unspecified"
"C601","Malignant neoplasm of glans penis"
"C91Z2","Other lymphoid leukemia, in relapse"
"C9591","Leukemia, unspecified, in remission"
"C8526","Mediastinal (thymic) large B-cell lymphoma, intrapelv nodes"
"C50329","Malig neoplasm of lower-inner quadrant of unsp male breast"
"C3482","Malignant neoplasm of ovrlp sites of left bronchus and lung"
"C8199","Hodgkin lymphoma, unsp, extranodal and solid organ sites"
"C951","Chronic leukemia of unspecified cell type"
"C93Z1","Other monocytic leukemia, in remission"
"C64","Malignant neoplasm of kidney, except renal pelvis"
"C50522","Malig neoplasm of lower-outer quadrant of left male breast"
"C718","Malignant neoplasm of overlapping sites of brain"
"C12","Malignant neoplasm of pyriform sinus"
"C179","Malignant neoplasm of small intestine, unspecified"
"C8376","Burkitt lymphoma, intrapelvic lymph nodes"
"C8116","Nodular sclerosis class Hodgkin lymphoma, intrapelv nodes"
"C677","Malignant neoplasm of urachus"
"C709","Malignant neoplasm of meninges, unspecified"
"C8133","Lymphocy depleted class Hodgkin lymphoma, intra-abd nodes"
"C8525","Mediastnl lg B-cell lymph, nodes of ing rgn and lower limb"
"C944","Acute panmyelosis with myelofibrosis"
"C8352","Lymphoblastic (diffuse) lymphoma, intrathoracic lymph nodes"
"C8241","Foliclar lymphoma grade IIIb, nodes of head, face, and neck"
"C7640","Malignant neoplasm of unspecified upper limb"
"C341","Malignant neoplasm of upper lobe, bronchus or lung"
"C50912","Malignant neoplasm of unspecified site of left female breast"
"C052","Malignant neoplasm of uvula"
"C4920","Malig neoplm of conn and soft tiss of unsp low limb, inc hip"
"C8581","Oth types of non-hodg lymph, nodes of head, face, and neck"
"C8351","Lymphoblastic lymphoma, nodes of head, face, and neck"
"C92A1","Acute myeloid leukemia w multilin dysplasia, in remission"
"C695","Malignant neoplasm of lacrimal gland and duct"
"C7232","Malignant neoplasm of left optic nerve"
"C8190","Hodgkin lymphoma, unspecified, unspecified site"
"C8440","Peripheral T-cell lymphoma, not classified, unspecified site"
"C5711","Malignant neoplasm of right broad ligament"
"C098","Malignant neoplasm of overlapping sites of tonsil"
"C5051","Malignant neoplasm of lower-outer quadrant of breast, female"
"C9000","Multiple myeloma not having achieved remission"
"C8197","Hodgkin lymphoma, unspecified, spleen"
"C8195","Hodgkin lymphoma, unsp, nodes of ing region and lower limb"
"C6290","Malig neoplasm of unsp testis, unsp descended or undescended"
"C831","Mantle cell lymphoma"
"C765","Malignant neoplasm of lower limb"
"C8374","Burkitt lymphoma, lymph nodes of axilla and upper limb"
"C8584","Oth types of non-hodg lymph, nodes of axilla and upper limb"
"C9212","Chronic myeloid leukemia, BCR/ABL-positive, in relapse"
"C910","Acute lymphoblastic leukemia [ALL]"
"C02","Malignant neoplasm of other and unspecified parts of tongue"
"C9012","Plasma cell leukemia in relapse"
"C223","Angiosarcoma of liver"
"C9310","Chronic myelomonocytic leukemia not achieve remission"
"C50521","Malig neoplasm of lower-outer quadrant of right male breast"
"C9260","Acute myeloid leukemia w 11q23-abnormality not achieve remis"
"C8517","Unspecified B-cell lymphoma, spleen"
"C165","Malignant neoplasm of lesser curvature of stomach, unsp"
"C9292","Myeloid leukemia, unspecified in relapse"
"C8134","Lymphocy deplet class Hdgkn lymph, nodes of axla and upr lmb"
"C001","Malignant neoplasm of external lower lip"
"C900","Multiple myeloma"
"C4360","Malignant melanoma of unsp upper limb, including shoulder"
"C8407","Mycosis fungoides, spleen"
"C50611","Malignant neoplasm of axillary tail of right female breast"
"C022","Malignant neoplasm of ventral surface of tongue"
"C631","Malignant neoplasm of spermatic cord"
"C68","Malignant neoplasm of other and unspecified urinary organs"
"C8401","Mycosis fungoides, lymph nodes of head, face, and neck"
"C4361","Malignant melanoma of right upper limb, including shoulder"
"C173","Meckel's diverticulum, malignant"
"C8105","Nodlr lymphocy predom Hdgkn lymph,nodes of ing rgn & low lmb"
"C475","Malignant neoplasm of peripheral nerves of pelvis"
"C8120","Mixed cellularity classical Hodgkin lymphoma, unsp site"
"C7222","Malignant neoplasm of left olfactory nerve"
"C578","Malignant neoplasm of ovrlp sites of female genital organs"
"C8194","Hodgkin lymphoma, unsp, lymph nodes of axilla and upper limb"
"C8597","Non-Hodgkin lymphoma, unspecified, spleen"
"C4720","Malig neoplasm of prph nerves of unsp lower limb, inc hip"
"C9020","Extramedullary plasmacytoma not having achieved remission"
"C23","Malignant neoplasm of gallbladder"
"C8245","Foliclar lymph grade IIIb, nodes of ing rgn and lower limb"
"C8232","Follicular lymphoma grade IIIa, intrathoracic lymph nodes"
"C4652","Kaposi's sarcoma of left lung"
"C43","Malignant melanoma of skin"
"C8529","Mediastnl large B-cell lymph, extrnod and solid organ sites"
"C8200","Follicular lymphoma grade I, unspecified site"
"C50119","Malignant neoplasm of central portion of unsp female breast"
"C8312","Mantle cell lymphoma, intrathoracic lymph nodes"
"C3481","Malignant neoplasm of ovrlp sites of right bronchus and lung"
"C8384","Oth non-follic lymphoma, nodes of axilla and upper limb"
"C8339","Diffuse large B-cell lymphoma, extrnod and solid organ sites"
"C829","Follicular lymphoma, unspecified"
"C50821","Malignant neoplasm of overlapping sites of right male breast"
"C37","Malignant neoplasm of thymus"
"C8520","Mediastinal (thymic) large B-cell lymphoma, unspecified site"
"C8419","Sezary disease, extranodal and solid organ sites"
"C925","Acute myelomonocytic leukemia"
"C8125","Mix cellular class Hdgkn lymph, nodes of ing rgn and low lmb"
"C090","Malignant neoplasm of tonsillar fossa"
"C3401","Malignant neoplasm of right main bronchus"
"C549","Malignant neoplasm of corpus uteri, unspecified"
"C8104","Nodlr lymphocy predom Hdgkn lymph, nodes of axla and upr lmb"
"C155","Malignant neoplasm of lower third of esophagus"
"C922","Atypical chronic myeloid leukemia, BCR/ABL-negative"
"C9140","Hairy cell leukemia not having achieved remission"
"C7259","Malignant neoplasm of other cranial nerves"
"C9132","Prolymphocytic leukemia of B-cell type, in relapse"
"C8248","Follicular lymphoma grade IIIb, lymph nodes mult site"
"C50921","Malignant neoplasm of unspecified site of right male breast"
"C9391","Monocytic leukemia, unspecified in remission"
"C9230","Myeloid sarcoma, not having achieved remission"
"C50021","Malignant neoplasm of nipple and areola, right male breast"
"C942","Acute megakaryoblastic leukemia"
"C50811","Malignant neoplasm of ovrlp sites of right female breast"
"C8235","Foliclar lymph grade IIIa, nodes of ing rgn and lower limb"
"C310","Malignant neoplasm of maxillary sinus"
"C725","Malignant neoplasm of other and unspecified cranial nerves"
"C5721","Malignant neoplasm of right round ligament"
"C84","Mature T/NK-cell lymphomas"
"C8303","Small cell B-cell lymphoma, intra-abdominal lymph nodes"
"C8123","Mixed cellular classical Hodgkin lymphoma, intra-abd nodes"
"C8285","Oth types of foliclar lymph, nodes of ing rgn and lower limb"
"C8298","Follicular lymphoma, unsp, lymph nodes of multiple sites"
"C4372","Malignant melanoma of left lower limb, including hip"
"C3491","Malignant neoplasm of unsp part of right bronchus or lung"
"C8308","Small cell B-cell lymphoma, lymph nodes of multiple sites"
"C600","Malignant neoplasm of prepuce"
"C060","Malignant neoplasm of cheek mucosa"
"C100","Malignant neoplasm of vallecula"
"C92Z","Other myeloid leukemia"
"C8511","Unsp B-cell lymphoma, lymph nodes of head, face, and neck"
"C8212","Follicular lymphoma grade II, intrathoracic lymph nodes"
"C9220","Atyp chronic myeloid leuk, BCR/ABL-neg, not achieve remis"
"C5041","Malignant neoplasm of upper-outer quadrant of breast, female"
"C4651","Kaposi's sarcoma of right lung"
"C8266","Cutaneous follicle center lymphoma, intrapelvic lymph nodes"
"C19","Malignant neoplasm of rectosigmoid junction"
"C411","Malignant neoplasm of mandible"
"C8112","Nodular sclerosis class Hodgkin lymphoma, intrathorac nodes"
"C403","Malignant neoplasm of short bones of lower limb"
"C4331","Malignant melanoma of nose"
"C8284","Oth types of foliclar lymph, nodes of axilla and upper limb"
"C9312","Chronic myelomonocytic leukemia, in relapse"
"C8211","Follicular lymphoma grade II, nodes of head, face, and neck"
"C9101","Acute lymphoblastic leukemia, in remission"
"C8375","Burkitt lymphoma, nodes of inguinal region and lower limb"
"C040","Malignant neoplasm of anterior floor of mouth"
"C8253","Diffuse follicle center lymphoma, intra-abd lymph nodes"
"C69","Malignant neoplasm of eye and adnexa"
"C01","Malignant neoplasm of base of tongue"
"C348","Malignant neoplasm of overlapping sites of bronchus and lung"
"C8148","Lymp-rich classical Hodgkin lymphoma, lymph nodes mult site"
"C95","Leukemia of unspecified cell type"
"C8255","Diffus folicl cntr lymph, nodes of ing region and lower limb"
"C939","Monocytic leukemia, unspecified"
"C9102","Acute lymphoblastic leukemia, in relapse"
"C8143","Lymp-rich classical Hodgkin lymphoma, intra-abd lymph nodes"
"C72","Malig neoplm of spinal cord, cranial nerves and oth prt cnsl"
"C9001","Multiple myeloma in remission"
"C8135","Lymphocy deplet class Hdgkn lymph,nodes of ing rgn & low lmb"
"C4092","Malig neoplasm of unsp bones and artic cartlg of left limb"
"C399","Malignant neoplasm of lower respiratory tract, part unsp"
"C750","Malignant neoplasm of parathyroid gland"
"C6920","Malignant neoplasm of unspecified retina"
"C8301","Small cell B-cell lymphoma, nodes of head, face, and neck"
"C8149","Lymp-rich class Hodgkin lymph, extrnod and solid organ sites"
"C9402","Acute erythroid leukemia, in relapse"
